date,gdp,imports,electricity,industrial_va,retail_sales,fixed_asset_investment,cpi
2011Q2,16.674981276502773,6.258778168617389,5.834469548260036,4.326087582790607,4.620903015037672,16.09484713704488,4.405959039680489
2011Q3,16.709108077458453,6.31020648400502,5.958493596771282,4.342539222604627,4.622624691481442,16.16009276218311,4.416139855612711
2011Q4,16.80196547626649,6.311235809545434,5.920729086766045,4.3588924285577395,4.6211211480353205,16.838751966933927,4.420847227725687
2012Q1,16.61250810864405,6.231032752136145,5.857456850592578,4.337734290073472,4.618006303426193,15.946116021417602,4.4369966325292465
2012Q2,16.721442267957904,6.293586896697424,5.9107243740397735,4.363180914414972,4.6149419953451005,16.211206100892927,4.433292897446082
2012Q3,16.763020664330192,6.3053446475519825,6.031694366327049,4.392526173995281,4.61283700599938,16.269798857832654,4.434940111689776
2012Q4,16.85936469373744,6.3184289653540695,5.990497412917776,4.417795902391683,4.612148630363771,16.952410763447578,4.441660883880281
2013Q1,16.66428912371271,6.289447576936769,5.930740962061515,4.443978114442068,4.612585424574281,16.038195970853433,4.461334264551613
2013Q2,16.770883307370926,6.317353555841353,5.983230742180878,4.470872431287145,4.613854010619722,16.30385721028317,4.456920958286525
2013Q3,16.81250270973729,6.359941807255892,6.104659294874325,4.482614646328418,4.615630251673304,16.344582408221836,4.461908329385527
2013Q4,16.904991487102535,6.359330429684132,6.070006128655251,4.504762964883919,4.616909375678002,17.04989516865094,4.470192223776584
2014Q1,16.715198118893298,6.283393291171589,6.010319012622513,4.494269850669412,4.617151636214074,16.07279492329922,4.483492526118924
2014Q2,16.823508027322063,6.3107065597846494,6.052700746578555,4.532272208497273,4.616512430645138,16.319683956778558,4.478077941291023
2014Q3,16.8638781050036,6.352606075781796,6.180106366674478,4.542574614395054,4.614895977795892,16.4129217639899,4.480788879542477
2014Q4,16.962070705601025,6.32824069323421,6.152434777990901,4.538039040984042,4.612438151269594,17.087277783066508,4.4841672971636335
2015Q1,16.77195200273288,6.078374524418584,6.081404271189887,4.556076041764628,4.609387801014384,16.069661362298717,4.494902017850235
