date,value,source,units,fetched_at
2009-02,75.94279,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-03,75.71496,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-04,75.56353,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-05,75.33684,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-06,74.96015,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-07,74.96015,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-08,75.33495,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-09,75.63628,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-10,75.56251,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-11,75.7899,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2009-12,76.54786,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-01,77.00264,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-02,77.93114,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-03,77.38162,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-04,77.53953,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-05,77.46373,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-06,76.99632,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-07,77.30582,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-08,77.76691,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-09,78.23433,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-10,78.78385,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-11,79.64919,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2010-12,80.04712,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-01,80.8493,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-02,81.8829,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-03,81.71854,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-04,81.80072,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-05,81.8829,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-06,82.12944,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-07,82.48972,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-08,82.72406,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-09,83.11464,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-10,83.19276,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-11,83.03652,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2011-12,83.27087,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-01,84.52071,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-02,84.4426,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-03,84.59883,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-04,84.52071,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-05,84.28637,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-06,83.81767,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-07,83.89579,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-08,84.44312,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-09,84.70231,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-10,84.61381,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-11,84.75506,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2012-12,85.37871,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-01,86.23212,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-02,87.18035,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-03,86.39648,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-04,86.56728,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-05,86.04879,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-06,86.04879,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-07,86.13388,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-08,86.56716,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-09,87.2571,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-10,87.34471,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-11,87.25703,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2013-12,87.51881,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-01,88.39396,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-02,88.8422,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-03,88.39396,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-04,88.03536,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-05,88.12501,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-06,88.03536,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-07,88.03536,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-08,88.21466,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-09,88.6629,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-10,88.6629,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-11,88.39396,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2014-12,88.75256,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-01,89.0215,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-02,90.09729,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-03,89.55939,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-04,89.3801,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-05,89.2008,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-06,89.2008,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-07,89.55939,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-08,90.00764,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-09,90.09729,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-10,89.73869,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-11,89.73869,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2015-12,90.18694,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-01,90.63519,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-02,92.06957,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-03,91.62132,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-04,91.44202,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-05,91.08343,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-06,90.90413,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-07,91.08343,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-08,91.17308,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-09,91.80062,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-10,91.71098,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-11,91.80062,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2016-12,91.97992,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
2017-01,92.96606,oecd,"Monthly CPI index, all items",2026-04-08T19:20:26+00:00
